shop_id,price_listed,sold,date_listed,date_sold,seller_id,level,damage,HP_points,mana_points,card_id
8,60,1,2025-06-06 00:00:00,2025-06-06 00:00:00,5,3,6,5,4,15
9,10,1,2025-06-06 20:46:53,2025-06-06 20:49:30,5,3,6,5,3,21
10,1,1,2025-06-06 21:01:10,2025-06-06 21:06:50,5,3,7,8,5,24
11,10,1,2025-06-06 21:06:04,2025-06-06 21:06:52,5,3,7,8,5,24
12,10,1,2025-06-06 21:07:06,2025-06-06 21:07:34,1,3,7,8,5,6
13,1,1,2025-06-06 21:07:15,2025-06-06 21:07:32,1,3,6,5,4,12
14,40,1,2025-06-07 11:22:44,2025-06-12 13:29:12,1,3,3,4,3,18
15,44,1,2025-06-07 11:22:55,2025-06-08 19:42:39,1,3,7,8,5,24
16,5,1,2025-06-07 11:23:05,2025-06-07 11:39:41,1,2,8,7,6,2
17,20,1,2025-06-07 11:23:48,2025-06-08 17:32:10,1,2,4,4,4,41
18,8,1,2025-06-07 11:24:03,2025-06-07 11:40:19,1,1,4,3,4,13
19,20,1,2025-06-07 11:25:03,2025-06-12 13:29:20,4,2,6,7,5,23
20,8,1,2025-06-07 11:26:02,2025-06-07 11:41:20,3,1,1,2,3,16
21,40,1,2025-06-07 11:26:48,2025-06-07 18:59:00,3,3,3,4,3,18
22,25,1,2025-06-07 11:27:02,2025-06-08 17:25:45,3,2,6,8,6,38
23,40,1,2025-06-07 11:27:42,2025-06-08 19:39:30,5,3,6,5,4,15
24,40,1,2025-06-07 11:38:54,2025-06-08 19:42:29,5,3,8,9,7,9
25,9,1,2025-06-07 11:40:48,2025-06-07 17:24:40,5,2,8,7,6,2
26,40,1,2025-06-07 11:48:51,2025-06-08 17:32:07,1,3,7,9,6,39
27,20,1,2025-06-07 17:24:52,2025-06-08 19:38:57,1,3,9,8,6,3
28,141,1,2025-06-07 18:59:35,2025-06-11 19:35:00,1,1,4,3,4,10
29,500,1,2025-06-07 18:59:49,2025-06-12 14:55:33,1,3,8,9,7,9
30,700,1,2025-06-07 19:00:19,2025-06-12 15:04:10,1,3,7,8,5,45
31,4,0,2025-06-08 17:29:42,1000-01-01 00:00:00,1,1,4,3,4,10
32,5,0,2025-06-08 19:00:08,1000-01-01 00:00:00,1,1,5,6,5,4
33,3,1,2025-06-08 19:02:13,2025-06-08 19:40:06,1,1,4,3,4,10
34,30,1,2025-06-08 19:33:52,2025-06-12 13:29:11,1,3,3,4,3,18
35,14,1,2025-06-08 19:34:02,2025-06-12 14:55:42,1,3,6,5,4,42
36,10,1,2025-06-08 19:34:13,2025-06-12 13:29:27,1,2,6,7,5,5
37,10,1,2025-06-08 19:34:25,2025-06-12 13:29:31,1,1,7,8,7,7
38,10,1,2025-06-08 19:34:48,2025-06-12 16:52:12,1,3,7,8,5,24
39,15,1,2025-06-08 19:35:18,2025-06-08 19:39:53,1,3,6,5,3,21
40,5,1,2025-06-08 19:35:30,2025-06-08 19:38:51,1,1,4,3,4,40
41,17,1,2025-06-08 19:35:40,2025-06-08 19:39:55,1,3,8,9,7,9
42,16,1,2025-06-08 19:37:30,2025-06-12 13:29:15,1,2,4,5,3,35
43,6,1,2025-06-08 19:42:33,2025-06-12 13:29:22,1,3,7,8,5,6
44,10,1,2025-06-08 19:42:40,2025-06-12 13:29:25,1,3,9,8,6,3
45,15,1,2025-06-08 19:42:49,2025-06-12 16:52:08,1,3,6,5,4,12
46,15,1,2025-06-08 19:42:59,2025-06-08 19:45:13,1,1,1,2,3,16
47,10,1,2025-06-08 19:43:06,2025-06-12 14:55:34,1,2,6,7,5,23
48,10,1,2025-06-08 19:43:14,2025-06-12 14:55:37,1,2,6,6,5,29
49,100,1,2025-06-08 19:43:23,2025-06-12 13:29:14,1,3,7,7,5,30
50,9,1,2025-06-08 19:43:25,2025-06-12 14:55:31,6,1,5,6,5,4
51,66,1,2025-06-08 19:43:37,2025-06-12 14:48:39,6,3,7,8,5,24
52,20,1,2025-06-08 19:43:56,2025-06-12 13:29:18,1,2,4,4,4,41
53,60,1,2025-06-08 19:43:57,2025-06-12 14:48:41,6,3,7,7,5,30
54,20,1,2025-06-08 19:44:06,2025-06-08 19:45:12,6,2,5,4,4,11
